address,reward(wei),reward(ether)
0x6F93ACF27101b8AcbDC8a3f7F813ddfc76AF74F1,40352002289029931945,40.35
0x2C27204701ea0977E5ED9a0EfA87A469FAD40544,39804142153668097376,39.80
0x1E9cb8699106dD3dB13f9307b898017EC79f0C3C,39777028247564911021,39.77
0x0F4e7Db33828895De5511D5eB997D5e97399391d,39431094919619386103,39.43
0xE9C78c5EFae66b52c5bF1919C8039F5698Cd3CCA,39213314606645974409,39.21
0x513CdA076c9a63563F5527497825EFdCBac95aa2,39165214401614462477,39.16
0xC1612baFFd9aE385B5eaEB7f3e1f1B051c3c4816,38014476256907703381,38.01
0xe3557E84Bd0247C09EC369D3c904E9DaB87d60a7,37648613446467744637,37.64
0xa007bD98bD3a406aF82AA947ef0626eC38312fAe,37525960854623104601,37.52
0x1F57941E84a83c07523f26BE0b99f8A147A25602,37454436596465088659,37.45
0x47ee340aFE92d4B8caabd7abd0f6Abc3D0927358,36739425562384131296,36.73
0xCb01F3D84F125667F87Ed21a6C3854021C9d90DB,36719471243472270502,36.71
0x9c52dC78bd84007bF63987806f0aeEece0ef14a6,36646879074972219021,36.64
0x75F3B20555B3d7DD9cE76f8A2D97e8a934a8F091,36383572791122037912,36.38
0x3b6b628930e56136cF95Dd44e4B8aE98c89DBD6e,36304374359889349123,36.30
0x0562D91995abb08B611a6D94C2F0305562470C20,35879658125272977178,35.87
0x7A712FDcFd1E25A92bD48925597dd6fF9E2b4c94,35858957383040390906,35.85
0x978A16501c40Ca0472648d57cE45a94acf63f014,35255030751685866944,35.25
0xCB49CCDDB93Adc78B17F5FE8Ed9a80522978513a,34649275997029511524,34.64
0x39a7568a710A6498E419bD7c07Fa7B9E8116AE56,34122569426326098625,34.12
0x59E91440c81740e7012e4508F5A1695aa6783D00,34019337867499094974,34.01
0x46B756702b865AF30Cc0edba27e6d550e775A904,33893146040548936680,33.89
0xF0F32C3c8DEf7b43caA14fEd5752AbC5381C8374,32747000957322441715,32.74
0x56E773B0a620205E9f72265b6013b65B84c2c4aF,32728375644325738684,32.72
0xf936B0f5B5A9aF020801A6ee021fF0cF72028d38,32133535758635325285,32.13
0x15B478d0A288E2a3063D5f28B6A140cCa69B2AFc,32110404536001311212,32.11
0xabF07AdC7929652106F8664438954d99490031E3,31936949071834025197,31.93
0x18818325F61a0f9aC65c2D6C9ba5A8b29a9855Da,31682935468290165311,31.68
0x73a6Ca6Ecf3Ff2c0FcE4DB608e5F908be861cd85,31678976544238216032,31.67
0xF7f27e46778F1f323D1CFd3AF62Bd1b74a1C82B9,31207178656763933245,31.20
0x433CA910AeF353F20b3fea9fAf0c222ED082EFB0,30846212574875988933,30.84
0x612219E1fB1F484eA4ccf0c047c92eC7688c7bA6,30634617569422863022,30.63
0x6005B1954De6c418abf892baa5Cda64efa0F3378,30585224934103255835,30.58
